net,length_um
_2355_,46.41µm
_1582_,46.4µm
_2013_,46.2µm
net80,46.1µm
_0275_,46.1µm
_0826_,46.02µm
_2131_,45.96µm
_1378_,45.945µm
_1926_,45.92µm
_0869_,45.78µm
_2192_,45.72µm
_1573_,45.6µm
RESULT_SYS\[6\],45.21µm
RESULT_SYS\[13\],44.86µm
_1191_,44.5µm
_2163_,44.32µm
_0527_,44.24µm
_0664_,44.24µm
_1658_,44.1µm
RESULT_SYS\[14\],44.02µm
_2072_,43.76µm
_1347_,43.54µm
_1904_,43.28µm
_2130_,43.16µm
_0612_,43.07µm
_0282_,43.065µm
net58,43.04µm
_0946_,42.85µm
_2095_,42.72µm
_1104_,42.68µm
_0447_,42.64µm
_1754_,42.62µm
_0614_,42.46µm
_1601_,42.46µm
RESULT_SYS\[8\],42.45µm
_0999_,42.38µm
_1772_,42.22µm
_2048_,42.08µm
net57,41.72µm
_1180_,41.52µm
_2375_,41.5µm
_1669_,41.46µm
_0558_,41.44µm
RESULT_MEM\[12\],41.42µm
_1586_,41.205µm
INSTR\[30\],41.02µm
_0827_,40.94µm
_1175_,40.73µm
_0610_,40.67µm
_0472_,40.665µm
_1564_,40.56µm
_1818_,40.32µm
_0951_,40.22µm
_2291_,40.12µm
_1519_,39.94µm
_0640_,39.9µm
INSTR\[31\],39.72µm
_0584_,39.72µm
_1995_,39.68µm
_0648_,39.64µm
_1619_,39.52µm
_1210_,39.3µm
_2397_,39.3µm
net79,39.28µm
_2376_,39.24µm
_2074_,39.16µm
RESULT_MEM\[8\],39.15µm
_1145_,38.975µm
_1735_,38.96µm
_0556_,38.76µm
_2115_,38.44µm
_1542_,38.42µm
_0950_,38.28µm
_2123_,38.26µm
_2399_,38.04µm
_1572_,37.94µm
_1514_,37.92µm
_1712_,37.8µm
REG_DEST\[0\],37.515µm
net81,37.44µm
_1273_,37.405µm
_0573_,37.16µm
_0566_,36.8µm
_1615_,36.72µm
_0704_,36.66µm
_2132_,36.38µm
_1782_,36.3µm
_1750_,36.1µm
_2385_,35.94µm
_1224_,35.78µm
_1764_,35.74µm
RESULT_SYS\[10\],35.69µm
_0448_,35.68µm
_1118_,35.64µm
_0823_,35.4µm
_0623_,35.38µm
_0276_,35.18µm
_2150_,35.08µm
_0599_,34.78µm
_0678_,34.64µm
_0437_,34.56µm
_0786_,34.34µm
_1650_,34.3µm
_1355_,34.28µm
_2057_,34.16µm
_2418_,33.99µm
REG_COND\[3\],33.96µm
_2373_,33.92µm
RESULT_SYS\[0\],33.89µm
_2096_,33.6µm
_0931_,33.52µm
REG_DEST\[2\],33.23µm
_1591_,33.22µm
_1358_,32.96µm
_0882_,32.88µm
_1822_,32.78µm
net48,32.575µm
_0632_,32.38µm
_0597_,32.32µm
REG_FILE\[9\]\[8\],32.2µm
_0753_,32.06µm
_1305_,32.02µm
_1798_,31.94µm
_1964_,31.94µm
REG_FILE\[1\]\[8\],31.72µm
_1319_,31.6µm
_0754_,31.5µm
_0738_,31.46µm
_0672_,31.4µm
_0532_,31.38µm
_1163_,31.38µm
_1405_,31.32µm
_1490_,31.22µm
_2381_,31.22µm
_0866_,31.2µm
_0615_,31.12µm
_1166_,30.76µm
_1895_,30.7µm
REG_COND\[4\],30.66µm
REG_DEST\[3\],30.615µm
RESULT_SYS\[7\],30.52µm
MEM_LD_DATA[2],30.36µm
_1165_,30.22µm
_2217_,30.22µm
_0763_,30.2µm
_1360_,30.04µm
